x,z,translation,rotation
0.0,0.026794080891075482,-1.3614176921843815,-0.6763277359278881
1.0,-0.00039067294335069585,-1.3614176921843815,-0.6763277359278881
2.0,-0.028765956985280852,-1.3614176921843815,-0.6763277359278881
3.0,-0.039523749008316775,-1.3614176921843815,-0.6763277359278881
4.0,0.0028021649213143913,-1.3614176921843815,-0.6763277359278881
5.0,0.15320048896904873,-1.3614176921843815,-0.6763277359278881
6.0,0.45896358636996926,-1.3614176921843815,-0.6763277359278881
7.0,0.9289681597461,-1.3614176921843815,-0.6763277359278881
8.0,1.5335329628883456,-1.3614176921843815,-0.6763277359278881
9.0,2.2068423734729254,-1.3614176921843815,-0.6763277359278881
10.0,2.8652523294566135,-1.3614176921843815,-0.6763277359278881
11.0,3.4272847521840126,-1.3614176921843815,-0.6763277359278881
12.0,3.8192046963550883,-1.3614176921843815,-0.6763277359278881
13.0,3.9961013369823535,-1.3614176921843815,-0.6763277359278881
14.0,3.940411100482614,-1.3614176921843815,-0.6763277359278881
15.0,3.689955491897859,-1.3614176921843815,-0.6763277359278881
16.0,3.204202738535803,-1.3614176921843815,-0.6763277359278881
17.0,2.6171822760417465,-1.3614176921843815,-0.6763277359278881
18.0,2.008067756879483,-1.3614176921843815,-0.6763277359278881
19.0,1.334135188442987,-1.3614176921843815,-0.6763277359278881
20.0,0.6602026200064892,-1.3614176921843815,-0.6763277359278881
21.0,-0.013729948430007775,-1.3614176921843815,-0.6763277359278881
22.0,-0.6876625168665048,-1.3614176921843815,-0.6763277359278881
23.0,-1.3615950853030023,-1.3614176921843815,-0.6763277359278881
24.0,-2.035527653739499,-1.3614176921843815,-0.6763277359278881
25.0,-2.7094602221759962,-1.3614176921843815,-0.6763277359278881
26.0,-3.3833927906124934,-1.3614176921843815,-0.6763277359278881
27.0,-4.0573253590489875,-1.3614176921843815,-0.6763277359278881
28.0,-4.731257927485488,-1.3614176921843815,-0.6763277359278881
